Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator,rate_per_100k
2022-01-14,2021-12-18,Southwest Region,Unvaccinated,2721.0,73.0,19.0,2073282.0,131.24119150216902
2022-01-14,2021-05-15,Eastern Region,Unvaccinated,627.0,36.0,11.0,4090528.0,15.32809456383137
2022-01-14,2021-11-06,Eastern Region,Unvaccinated,1007.0,24.0,9.0,2514369.0,40.0498097136896
2022-01-14,2021-02-06,Eastern Region,Partially Vaccinated,283.0,25.0,10.0,710872.0,39.81026120032861
2022-01-14,2021-07-31,Northwest Region,Fully Vaccinated,284.0,15.0,0.0,4735961.0,5.99667100299179
2022-01-14,2021-11-06,Central Region,Partially Vaccinated,78.0,4.0,3.0,624445.0,12.491092089775721
2022-01-14,2021-05-01,Eastern Region,Fully Vaccinated,32.0,4.0,3.0,3105550.0,1.030413292331471
2022-01-14,2021-08-07,Northern Region,Partially Vaccinated,148.0,1.0,0.0,549765.0,26.92059334442898
2022-01-14,2021-11-20,Central Region,Fully Vaccinated,439.0,12.0,4.0,5462903.0,8.036020408929097
2022-01-14,2021-06-19,Northern Region,Unvaccinated,177.0,7.0,0.0,3578986.0,4.945534852609091
2022-01-14,2022-01-08,Northern Region,Partially Vaccinated,2131.0,18.0,0.0,813550.0,261.93841804437346
2022-01-14,2021-05-22,Southwest Region,Fully Vaccinated,53.0,9.0,5.0,3871857.0,1.3688522070933922
2022-01-14,2021-02-06,Northern Region,Partially Vaccinated,127.0,11.0,4.0,710872.0,17.865382234776444
2022-01-14,2021-03-13,Northwest Region,Fully Vaccinated,11.0,0.0,0.0,1121422.0,0.9808974676794284
2022-01-14,2021-03-20,Northern Region,Fully Vaccinated,28.0,3.0,0.0,1259404.0,2.223273866050926
2022-01-14,2021-03-27,Eastern Region,Partially Vaccinated,205.0,18.0,3.0,1155949.0,17.734346411476633
2022-01-14,2021-09-25,Southwest Region,Fully Vaccinated,1121.0,31.0,22.0,5157704.0,21.73447720148345
2022-01-14,2021-03-27,Southwest Region,Partially Vaccinated,105.0,17.0,4.0,1155949.0,9.083445722951446
2022-01-14,2021-12-18,Central Region,Partially Vaccinated,268.0,1.0,0.0,755729.0,35.46244751756252
2022-01-14,2021-09-04,Southwest Region,Fully Vaccinated,1097.0,37.0,26.0,4993792.0,21.967274568103758
2022-01-14,2021-09-11,Eastern Region,Fully Vaccinated,1157.0,27.0,27.0,5046958.0,22.924700383874804
2022-01-14,2021-08-21,Northern Region,Unvaccinated,1793.0,39.0,14.0,3074560.0,58.31728767693589
2022-01-14,2021-08-28,Southwest Region,Fully Vaccinated,862.0,31.0,9.0,4933214.0,17.473395640245894
2022-01-14,2021-10-16,Southwest Region,Fully Vaccinated,756.0,21.0,12.0,5282636.0,14.311037141305968
2022-01-14,2021-06-05,Eastern Region,Partially Vaccinated,15.0,0.0,0.0,685671.0,2.187638094654725
2022-01-14,2021-09-11,Northwest Region,Fully Vaccinated,750.0,29.0,17.0,5046958.0,14.860436722477182
2022-01-14,2021-07-31,Northern Region,Fully Vaccinated,648.0,9.0,2.0,4735961.0,13.682545105417887
2022-01-14,2021-02-06,Central Region,Unvaccinated,3668.0,111.0,63.0,7577823.0,48.4044032171245
2022-01-14,2021-06-05,Northwest Region,Partially Vaccinated,13.0,1.0,0.0,685671.0,1.8959530153674282
2022-01-14,2021-09-18,Eastern Region,Partially Vaccinated,330.0,7.0,3.0,588872.0,56.03934301512043
2022-01-14,2021-09-04,Eastern Region,Fully Vaccinated,1122.0,32.0,13.0,4993792.0,22.467896139847234
2022-01-14,2021-02-13,Eastern Region,Fully Vaccinated,8.0,0.0,0.0,388983.0,2.056645149016795
2022-01-14,2021-04-03,Northern Region,Partially Vaccinated,301.0,7.0,4.0,1261673.0,23.85721181320358
2022-01-14,2021-07-17,Northwest Region,Fully Vaccinated,87.0,7.0,0.0,4656723.0,1.868266590046262
2022-01-14,2021-07-17,Northwest Region,Unvaccinated,389.0,19.0,3.0,3399979.0,11.44124713711467
2022-01-14,2021-01-30,Southwest Region,Fully Vaccinated,2.0,0.0,0.0,153503.0,1.302906132127711
2022-01-14,2021-07-03,Southwest Region,Partially Vaccinated,17.0,4.0,0.0,491659.0,3.457681035026309
2022-01-14,2021-11-06,Southwest Region,Fully Vaccinated,466.0,23.0,5.0,5396705.0,8.634898516780147
2022-01-14,2021-07-24,Northwest Region,Fully Vaccinated,175.0,2.0,2.0,4697306.0,3.7255397029701705
2022-01-14,2021-02-13,Northwest Region,Unvaccinated,2490.0,72.0,21.0,7458288.0,33.385677785572234
2022-01-14,2021-05-15,Northern Region,Partially Vaccinated,70.0,2.0,0.0,812753.0,8.612702752250684
